"Country","Region","Subregion","Indicator","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Gambia","Africa","Western Africa","Homicide Total Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gambia","Africa","Western Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Georgia","Asia","Western Asia","Homicide Total Count",270,419,770,878,578,391,270,285,243,244,239,263,292,302,298,403,323,330,263,210,187,,,,108,,39,
"Georgia","Asia","Western Asia","Homicide Rate",5,7.8,14.5,16.9,11.3,7.8,5.5,5.8,5,5.1,5.1,5.6,6.3,6.6,6.6,9,7.3,7.5,6.1,4.9,4.4,,,,2.7,,1,
"Germany","Europe","Western Europe","Homicide Total Count",1173,1343,1391,1250,1343,1370,1250,1179,976,1005,1015,925,955,859,868,869,808,757,722,803,793,738,659,682,716,682,963,813
"Germany","Europe","Western Europe","Homicide Rate",1.5,1.7,1.7,1.6,1.7,1.7,1.5,1.4,1.2,1.2,1.2,1.1,1.2,1.1,1.1,1.1,1,0.9,0.9,1,1,0.9,0.8,0.8,0.9,0.8,1.2,1
"Ghana","Africa","Western Africa","Homicide Total Count",,,,,,,,,,,,433,401,436,452,393,412,399,430,427,422,423,560,551,543,525,549,609
"Ghana","Africa","Western Africa","Homicide Rate",,,,,,,,,,,,2.2,2,2.1,2.2,1.8,1.9,1.8,1.8,1.8,1.7,1.7,2.2,2.1,2,1.9,1.9,2.1
"Gibraltar","Europe","Southern Europe","Homicide Total Count",,,,,,,,,,,,,,,,,,,,0,1,,,,,,,
"Gibraltar","Europe","Southern Europe","Homicide Rate",,,,,,,,,,,,,,,,,,,,0,3,,,,,,,
"Greece","Europe","Southern Europe","Homicide Total Count",104,138,137,150,133,151,169,203,176,155,,132,94,122,111,132,110,130,144,152,176,184,166,153,107,93,84,82
"Greece","Europe","Southern Europe","Homicide Rate",1,1.3,1.3,1.4,1.2,1.4,1.6,1.9,1.6,1.4,,1.2,0.8,1.1,1,1.2,1,1.1,1.3,1.3,1.5,1.6,1.5,1.4,0.9,0.8,0.8,0.7
"Greenland","Americas","Northern America","Homicide Total Count",,,13,12,6,11,3,11,6,11,13,17,12,5,11,10,8,8,8,10,11,1,8,7,4,4,3,
"Greenland","Americas","Northern America","Homicide Rate",,,23.3,21.5,10.7,19.7,5.4,19.7,10.7,19.6,23.1,30.2,21.2,8.8,19.3,17.6,14,14.1,14.1,17.6,19.4,1.8,14.2,12.4,7.1,7.1,5.3,
"Grenada","Americas","Caribbean","Homicide Total Count",,,,,,,,,,,15,6,14,9,6,11,12,11,16,7,10,4,14,6,8,6,11,12
"Grenada","Americas","Caribbean","Homicide Rate",,,,,,,,,,,14.8,5.9,13.7,8.8,5.8,10.7,11.6,10.6,15.4,6.7,9.6,3.8,13.3,5.7,7.5,5.6,10.2,11.1
"Guadeloupe","Americas","Caribbean","Homicide Total Count",,,,,,,,,,,,,,,26,23,24,29,32,36,,27,31,35,21,39,23,
"Guadeloupe","Americas","Caribbean","Homicide Rate",,,,,,,,,,,,,,,6,5.2,5.4,6.5,7.2,8,,6,6.9,7.8,4.7,8.7,5.1,
"Guam","Oceania","Micronesia","Homicide Total Count",,,,,,,,,,,2,8,2,8,9,7,11,1,1,5,3,4,,,,,,
"Guam","Oceania","Micronesia","Homicide Rate",,,,,,,,,,,1.3,5.1,1.3,5.1,5.7,4.4,6.9,0.6,0.6,3.1,1.9,2.5,,,,,,
"Guatemala","Americas","Central America","Homicide Total Count",,,2669,3231,3239,3260,3619,3998,3310,2655,2904,3230,3631,4237,4507,5338,5885,5781,6292,6498,5960,5681,5155,5253,4998,4778,4520,4410
"Guatemala","Americas","Central America","Homicide Rate",,,27.5,32.5,31.8,31.3,34,36.7,29.7,23.3,24.9,27.1,29.7,33.9,35.2,40.8,43.9,42.2,44.9,45.4,40.7,38,33.8,33.7,31.4,29.4,27.3,26.1
"Guinea","Africa","Western Africa","Homicide Total Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Guinea","Africa","Western Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Guinea-Bissau","Africa","Western Africa","Homicide Total Count",,,,,,,,,,,,,,,,,,,,,,,,81,65,48,64,21
"Guinea-Bissau","Africa","Western Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,4.8,3.8,2.7,3.5,1.1
"Guyana","Americas","South America","Homicide Total Count",90,192,105,117,108,109,88,87,113,91,76,80,143,209,131,142,153,115,158,117,140,130,139,155,149,149,142,115
"Guyana","Americas","South America","Homicide Rate",12.1,25.8,14,15.5,14.2,14.3,11.6,11.4,14.9,12,10.1,10.6,19,27.8,17.4,18.9,20.4,15.4,21.2,15.7,18.8,17.4,18.5,20.4,19.5,19.4,18.4,14.8
"Haiti","Americas","Caribbean","Homicide Total Count",,,,,,,,,,,,,,,,,,486,498,598,677,914,1033,1039,980,1071,1028,
"Haiti","Americas","Caribbean","Homicide Rate",,,,,,,,,,,,,,,,,,5.1,5.1,6.1,6.8,9,10,10,9.3,10,9.5,
"Holy See","Europe","Southern Europe","Homicide Total Count",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,
"Holy See","Europe","Southern Europe","Homicide Rate",,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,
"Honduras","Americas","Central America","Homicide Total Count",496,704,955,1253,1682,1534,,,,2563,3176,3488,3623,4073,3639,3212,3118,3588,4455,5280,6236,7104,7172,6431,5891,5148,5150,3864
"Honduras","Americas","Central America","Homicide Rate",10,13.8,18.2,23.2,30.3,26.9,,,,40.3,48.7,52.1,52.8,57.9,50.5,43.6,41.3,46.5,56.6,65.7,76.1,85.1,84.3,74.3,66.9,57.5,56.5,41.7
"Hungary","Europe","Eastern Europe","Homicide Total Count",201,307,305,298,313,296,271,289,289,253,205,254,203,228,209,164,174,154,181,139,138,145,124,154,146,221,202,242
"Hungary","Europe","Eastern Europe","Homicide Rate",1.9,3,2.9,2.9,3,2.9,2.6,2.8,2.8,2.5,2,2.5,2,2.2,2.1,1.6,1.7,1.5,1.8,1.4,1.4,1.5,1.3,1.6,1.5,2.3,2.1,2.5
"Iceland","Europe","Northern Europe","Homicide Total Count",,,,,0,0,1,2,0,2,5,1,4,0,3,3,0,2,0,1,2,3,1,1,2,3,1,3
"Iceland","Europe","Northern Europe","Homicide Rate",,,,,0,0,0.4,0.7,0,0.7,1.8,0.4,1.4,0,1,1,0,0.7,0,0.3,0.6,0.9,0.3,0.3,0.6,0.9,0.3,0.9
"India","Asia","Southern Asia","Homicide Total Count",44162,48574,49688,47947,47458,46386,46912,47418,49292,47781,48167,46420,45736,44331,46490,45095,44961,45362,45999,45824,46460,47640,47478,45878,47356,44373,42678,
"India","Asia","Southern Asia","Homicide Rate",5.1,5.5,5.5,5.2,5,4.8,4.8,4.8,4.9,4.6,4.6,4.3,4.2,4,4.1,3.9,3.9,3.8,3.8,3.8,3.8,3.8,3.8,3.6,3.7,3.4,3.2,
"Indonesia","Asia","South-Eastern Asia","Homicide Total Count",,,,,,,,,1758,2090,2204,,,1635,1419,,,,1372,1311,1058,1467,1456,1386,1277,1491,1292,1150
"Indonesia","Asia","South-Eastern Asia","Homicide Rate",,,,,,,,,0.9,1,1,,,0.7,0.6,,,,0.6,0.5,0.4,0.6,0.6,0.5,0.5,0.6,0.5,0.4
"Iran (Islamic Republic of)","Asia","Southern Asia","Homicide Total Count",,,,,,,,,,,,,,1803,2015,,,,,2215,,,,2037,1936,,,
"Iran (Islamic Republic of)","Asia","Southern Asia","Homicide Rate",,,,,,,,,,,,,,2.6,2.9,,,,,3,,,,2.6,2.5,,,
"Iraq","Asia","Western Asia","Homicide Total Count",1168,1171,1397,1118,1267,,,,,,,,,,,,,,4596,2554,2691,2634,2697,3339,,,,
"Iraq","Asia","Western Asia","Homicide Rate",6.7,6.5,7.6,5.9,6.5,,,,,,,,,,,,,,15.8,8.5,8.7,8.3,8.2,9.9,,,,
"Iraq (Central Iraq)","Asia","Western Asia","Homicide Total Count",,,,,,,,,,,,,,,,,,,4452,2458,2553,2518,2594,3228,3029,,,
"Iraq (Central Iraq)","Asia","Western Asia","Homicide Rate",,,,,,,,,,,,,,,,,,,17.9,9.6,9.7,9.3,9.2,11.1,10.1,,,
"Iraq (Kurdistan Region)","Asia","Western Asia","Homicide Total Count",,,,,,,,,,,,,,,,,,,144,96,138,116,103,111,,,,
"Iraq (Kurdistan Region)","Asia","Western Asia","Homicide Rate",,,,,,,,,,,,,,,,,,,3.3,2.2,3,2.5,2.1,2.2,,,,
"Ireland","Europe","Northern Europe","Homicide Total Count",17,23,25,23,25,43,42,38,38,38,37,52,52,37,30,52,62,78,51,53,55,42,52,51,52,31,37,41
"Ireland","Europe","Northern Europe","Homicide Rate",0.5,0.6,0.7,0.6,0.7,1.2,1.1,1,1,1,1,1.3,1.3,0.9,0.7,1.2,1.4,1.8,1.1,1.2,1.2,0.9,1.1,1.1,1.1,0.7,0.8,0.9
"Isle of Man","Europe","Northern Europe","Homicide Total Count",,,,,,,,,,,,,,,,,,,,,,1,2,2,3,1,0,
"Isle of Man","Europe","Northern Europe","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,1.2,2.5,2.4,3.6,1.2,0,
"Israel","Asia","Western Asia","Homicide Total Count",147,112,149,141,140,112,117,156,147,137,147,223,227,195,173,166,182,125,136,128,145,151,134,,118,110,,
"Israel","Asia","Western Asia","Homicide Rate",3.3,2.4,3.1,2.8,2.7,2.1,2.1,2.8,2.5,2.3,2.4,3.6,3.6,3.1,2.7,2.5,2.7,1.8,1.9,1.8,2,2,1.7,,1.5,1.4,,
"Italy","Europe","Southern Europe","Homicide Total Count",1794,1938,1476,1071,969,1012,953,873,889,819,766,709,644,719,714,610,625,631,615,590,529,552,530,502,475,469,400,
"Italy","Europe","Southern Europe","Homicide Rate",3.1,3.4,2.6,1.9,1.7,1.8,1.7,1.5,1.6,1.4,1.3,1.2,1.1,1.2,1.2,1,1.1,1.1,1,1,0.9,0.9,0.9,0.8,0.8,0.8,0.7,
"Jamaica","Americas","Caribbean","Homicide Total Count",544,566,632,657,692,780,925,1038,859,854,887,1139,1045,975,1471,1674,1340,1584,1619,1683,1447,1133,1099,1201,1005,1208,1354,1647
"Jamaica","Americas","Caribbean","Homicide Rate",22.4,23.2,25.6,26.4,27.5,30.7,36.1,40.1,32.9,32.4,33.4,42.5,38.8,35.9,53.9,61,48.5,57.1,58,60,51.4,40,38.7,42.1,35.1,42.1,47,57
"Japan","Asia","Eastern Asia","Homicide Total Count",676,639,673,715,751,724,652,710,775,736,678,697,662,697,699,643,619,574,654,506,465,442,429,370,395,363,362,306
"Japan","Asia","Eastern Asia","Homicide Rate",0.5,0.5,0.5,0.6,0.6,0.6,0.5,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.2
"Jordan","Asia","Western Asia","Homicide Total Count",120,121,141,165,197,35,45,42,,,,,,,,67,100,112,120,102,116,141,161,144,170,151,131,133
"Jordan","Asia","Western Asia","Homicide Rate",3.4,3.2,3.6,3.9,4.5,0.8,1,0.9,,,,,,,,1.2,1.7,1.8,1.8,1.5,1.6,1.9,2,1.7,1.9,1.6,1.4,1.4
"Kazakhstan","Asia","Central Asia","Homicide Total Count",1475,1512,1880,2586,2549,2447,2625,2581,2531,2374,2325,2160,1967,1991,2091,,,,1807,1771,1387,1420,1266,1120,904,853,,915
"Kazakhstan","Asia","Central Asia","Homicide Rate",8.9,9.1,11.4,15.8,15.7,15.3,16.6,16.6,16.5,15.7,15.4,14.4,13,13.1,13.6,,,,11.3,10.9,8.5,8.5,7.5,6.5,5.2,4.8,,5
"Kenya","Africa","Eastern Africa","Homicide Total Count",,,,,,,,,,,,,,,1200,1084,1106,1102,1215,1907,1926,2271,2374,2450,2305,2261,2363,2466
"Kenya","Africa","Eastern Africa","Homicide Rate",,,,,,,,,,,,,,,3.4,3,3,2.9,3.1,4.7,4.7,5.3,5.4,5.5,5,4.8,4.9,5
"Kiribati","Oceania","Micronesia","Homicide Total Count",,0,0,0,0,0,1,0,0,0,3,4,,,,,,,7,1,4,11,8,,,,,
"Kiribati","Oceania","Micronesia","Homicide Rate",,0,0,0,0,0,1.3,0,0,0,3.6,4.7,,,,,,,7.1,1,3.9,10.5,7.5,,,,,
"Kosovo under UNSCR 1244","Europe","Southern Europe","Homicide Total Count",,,,,,,,,,,,,,,,,,,113,73,106,62,90,41,55,42,38,
"Kosovo under UNSCR 1244","Europe","Southern Europe","Homicide Rate",,,,,,,,,,,,,,,,,,,6.5,4.1,6,3.5,5,2.2,3,2.3,2.1,
"Kuwait","Asia","Western Asia","Homicide Total Count",,,,,,,16,,,,,39,23,29,43,41,45,59,38,49,60,59,61,,,,,
"Kuwait","Asia","Western Asia","Homicide Rate",,,,,,,1,,,,,1.8,1.1,1.3,1.9,1.8,1.9,2.4,1.4,1.7,2,1.8,1.8,,,,,
"Kyrgyzstan","Asia","Central Asia","Homicide Total Count",603,366,468,548,546,535,519,439,425,433,430,386,411,420,419,491,446,416,417,419,909,467,380,301,320,305,267,256
"Kyrgyzstan","Asia","Central Asia","Homicide Rate",13.8,8.3,10.5,12.2,12.1,11.7,11.2,9.3,8.9,8.9,8.7,7.8,8.2,8.4,8.3,9.7,8.7,8,7.9,7.8,16.8,8.5,6.8,5.3,5.5,5.2,4.5,4.2
"Lao People's Democratic Republic","Asia","South-Eastern Asia","Homicide Total Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lao People's Democratic Republic","Asia","South-Eastern Asia","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Latvia","Europe","Northern Europe","Homicide Total Count",,,259,387,348,288,268,272,250,229,238,219,214,202,181,126,128,94,99,108,70,69,70,50,64,67,69,81
"Latvia","Europe","Northern Europe","Homicide Rate",,,9.9,15,13.7,11.5,10.8,11.1,10.3,9.5,10,9.3,9.2,8.8,7.9,5.6,5.8,4.3,4.6,5,3.3,3.3,3.4,2.5,3.2,3.4,3.5,4.2
"Lebanon","Asia","Western Asia","Homicide Total Count",,,,,,,,,,,,,,,,,,,183,145,163,168,194,236,240,231,235,
"Lebanon","Asia","Western Asia","Homicide Rate",,,,,,,,,,,,,,,,,,,4.5,3.5,3.8,3.7,3.9,4.5,4.3,3.9,4,
"Lesotho","Africa","Southern Africa","Homicide Total Count",519,549,640,665,833,,,,,,,,,,,,,895,752,723,764,712,641,658,,897,,
"Lesotho","Africa","Southern Africa","Homicide Rate",32.4,33.6,38.4,39.1,48.1,,,,,,,,,,,,,45.1,37.6,35.8,37.4,34.5,30.7,31.1,,41.2,,
"Liberia","Africa","Western Africa","Homicide Total Count",,,,,,,,,,,,,,,,,,100,177,145,129,161,135,,,,,
"Liberia","Africa","Western Africa","Homicide Rate",,,,,,,,,,,,,,,,,,2.8,4.8,3.8,3.3,4,3.2,,,,,
"Libya","Africa","Northern Africa","Homicide Total Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Libya","Africa","Northern Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liechtenstein","Europe","Western Europe","Homicide Total Count",,,,,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,
"Liechtenstein","Europe","Western Europe","Homicide Rate",,,,,0,0,0,0,0,3,0,0,0,0,2.9,0,0,0,2.8,0,2.8,0,0,0,2.7,0,0,
"Lithuania","Europe","Northern Europe","Homicide Total Count",180,214,266,416,465,502,405,391,311,309,370,353,293,344,343,372,288,277,298,252,219,211,202,198,159,172,153,129
"Lithuania","Europe","Northern Europe","Homicide Rate",4.9,5.8,7.2,11.3,12.7,13.8,11.2,10.9,8.7,8.8,10.6,10.2,8.5,10.1,10.1,11.1,8.7,8.5,9.3,8,7,6.9,6.7,6.6,5.4,5.9,5.2,4.5
"Luxembourg","Europe","Western Europe","Homicide Total Count",,,,,6,2,4,4,4,6,4,9,6,3,2,4,7,7,8,5,10,4,0,1,4,5,5,2
"Luxembourg","Europe","Western Europe","Homicide Rate",,,,,1.5,0.5,1,1,0.9,1.4,0.9,2,1.4,0.7,0.4,0.9,1.5,1.5,1.6,1,2,0.8,0,0.2,0.7,0.9,0.9,0.3
"Madagascar","Africa","Eastern Africa","Homicide Total Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Madagascar","Africa","Eastern Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Malawi","Africa","Eastern Africa","Homicide Total Count",,,,,,,,,,,700,900,567,300,411,200,821,690,780,320,520,343,279,,,,,
"Malawi","Africa","Eastern Africa","Homicide Rate",,,,,,,,,,,6.2,7.7,4.7,2.4,3.2,1.5,6.1,5,5.5,2.2,3.4,2.2,1.7,,,,,
"Malaysia","Asia","South-Eastern Asia","Homicide Total Count",313,384,366,360,336,396,447,540,629,588,551,517,565,565,497,604,588,652,597,561,540,530,602,627,,,,
"Malaysia","Asia","South-Eastern Asia","Homicide Rate",1.7,2.1,1.9,1.8,1.7,1.9,2.1,2.5,2.8,2.6,2.4,2.2,2.3,2.3,2,2.4,2.2,2.4,2.2,2,1.9,1.9,2.1,2.1,,,,
"Maldives","Asia","Southern Asia","Homicide Total Count",1,,,,,2,,6,,,,7,8,4,,,,3,5,6,6,3,10,3,,,,
"Maldives","Asia","Southern Asia","Homicide Rate",0.4,,,,,0.8,,2.3,,,,2.4,2.7,1.3,,,,0.9,1.4,1.7,1.6,0.8,2.6,0.8,,,,
"Mali","Africa","Western Africa","Homicide Total Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mali","Africa","Western Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Malta","Europe","Southern Europe","Homicide Total Count",4,3,6,7,3,,,,5,10,4,6,6,0,7,4,0,4,6,4,4,3,12,7,6,4,,
"Malta","Europe","Southern Europe","Homicide Rate",1.1,0.8,1.6,1.9,0.8,,,,1.3,2.5,1,1.5,1.5,0,1.7,1,0,1,1.5,1,1,0.7,2.9,1.7,1.4,0.9,,
"Marshall Islands","Oceania","Micronesia","Homicide Total Count",,5,2,,2,,,,,,,,,,,,,,,,,,,,,,,
"Marshall Islands","Oceania","Micronesia","Homicide Rate",,10.3,4.1,,4,,,,,,,,,,,,,,,,,,,,,,,
"Martinique","Americas","Caribbean","Homicide Total Count",,,,,,,,,,,,,,,19,19,23,23,17,11,,,,,,,,
"Martinique","Americas","Caribbean","Homicide Rate",,,,,,,,,,,,,,,4.8,4.8,5.8,5.8,4.3,2.8,,,,,,,,
"Mauritania","Africa","Western Africa","Homicide Total Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mauritania","Africa","Western Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mauritius","Africa","Eastern Africa","Homicide Total Count",20,29,31,21,27,25,34,24,31,23,26,,,39,35,37,50,45,48,38,33,34,29,35,19,21,23,
"Mauritius","Africa","Eastern Africa","Homicide Rate",1.9,2.7,2.9,1.9,2.4,2.2,3,2.1,2.7,2,2.2,,,3.2,2.9,3,4.1,3.6,3.9,3.1,2.6,2.7,2.3,2.8,1.5,1.7,1.8,
"Mayotte","Africa","Eastern Africa","Homicide Total Count",,,,,,,,,,,,,,,,,,27,5,12,,,,,,,,
"Mayotte","Africa","Eastern Africa","Homicide Rate",,,,,,,,,,,,,,,,,,14.2,2.5,5.9,,,,,,,,
"Mexico","Americas","Central America","Homicide Total Count",14493,15128,16594,16040,15839,15612,14505,13552,13656,12249,10737,10285,10088,10087,9329,9921,10452,8867,14006,19803,25757,27213,25967,23063,20010,20762,24559,32079
"Mexico","Americas","Central America","Homicide Rate",17,17.4,18.7,17.7,17.2,16.6,15.2,13.9,13.8,12.2,10.6,10,9.7,9.5,8.7,9.1,9.5,7.9,12.3,17.1,22,22.9,21.5,18.8,16.1,16.5,19.3,24.8
"Micronesia (Federated States of)","Oceania","Micronesia","Homicide Total Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia (Federated States of)","Oceania","Micronesia","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Monaco","Europe","Western Europe","Homicide Total Count",,,,,,,,,,,,1,,,1,1,1,0,0,0,0,0,0,0,,0,,
"Monaco","Europe","Western Europe","Homicide Rate",,,,,,,,,,,,3.1,,,3,3,2.9,0,0,0,0,0,0,0,,0,,
"Mongolia","Asia","Eastern Asia","Homicide Total Count",,,,,,,,,,,,,,343,333,398,336,293,212,219,239,266,199,205,213,184,171,191
"Mongolia","Asia","Eastern Asia","Homicide Rate",,,,,,,,,,,,,,13.9,13.3,15.8,13.1,11.3,8.1,8.2,8.8,9.6,7.1,7.1,7.3,6.2,5.7,6.2
"Montenegro","Europe","Southern Europe","Homicide Total Count",,,,,,,,,,,,,27,20,14,22,25,12,24,21,15,21,17,10,20,17,28,15
"Montenegro","Europe","Southern Europe","Homicide Rate",,,,,,,,,,,,,4.4,3.3,2.3,3.6,4,1.9,3.9,3.4,2.4,3.4,2.7,1.6,3.2,2.7,4.5,2.4
"Montserrat","Americas","Caribbean","Homicide Total Count",0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,1,1,,1,,,,1,,,,,
"Montserrat","Americas","Caribbean","Homicide Rate",0,0,18.4,0,9.3,0,10.7,0,14.4,0,0,0,0,0,0,20.9,20.6,,20.4,,,,19.9,,,,,
"Morocco","Africa","Northern Africa","Homicide Total Count",89,124,132,148,184,,,732,556,540,461,543,462,510,470,469,498,517,426,432,451,441,383,429,355,431,594,761
"Morocco","Africa","Northern Africa","Homicide Rate",0.4,0.5,0.5,0.6,0.7,,,2.6,2,1.9,1.6,1.9,1.6,1.7,1.6,1.5,1.6,1.7,1.3,1.4,1.4,1.3,1.1,1.3,1,1.2,1.7,2.1
"Mozambique","Africa","Eastern Africa","Homicide Total Count",,,,,,,,,,,,1100,1040,1044,1130,1089,894,849,995,823,875,849,,,,,,
"Mozambique","Africa","Eastern Africa","Homicide Rate",,,,,,,,,,,,5.9,5.4,5.3,5.6,5.2,4.1,3.8,4.4,3.5,3.6,3.4,,,,,,
"Myanmar","Asia","South-Eastern Asia","Homicide Total Count",2046,,,,,1613,,,,,1041,916,814,764,743,676,777,749,791,879,801,1055,1436,1238,1230,1152,1198,
"Myanmar","Asia","South-Eastern Asia","Homicide Rate",5,,,,,3.7,,,,,2.3,2,1.7,1.6,1.5,1.4,1.6,1.5,1.6,1.8,1.6,2.1,2.8,2.4,2.4,2.2,2.3,
"Namibia","Africa","Southern Africa","Homicide Total Count",,,,,,373,353,327,407,379,380,353,346,,352,,,,354,388,314,308,388,,,,,
"Namibia","Africa","Southern Africa","Homicide Rate",,,,,,22.5,20.7,18.6,22.5,20.4,20,18.3,17.6,,17.5,,,,16.8,18.2,14.4,13.9,17.1,,,,,
"Nauru","Oceania","Micronesia","Homicide Total Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nauru","Oceania","Micronesia","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nepal","Asia","Southern Asia","Homicide Total Count",354,,,,,,,575,650,630,635,848,858,757,936,878,610,841,892,806,813,679,642,606,558,,627,
"Nepal","Asia","Southern Asia","Homicide Rate",1.9,,,,,,,2.6,2.8,2.7,2.7,3.5,3.5,3,3.7,3.4,2.4,3.2,3.4,3,3,2.5,2.3,2.2,2,,2.2,
"Netherlands","Europe","Western Europe","Homicide Total Count",135,177,193,192,171,193,211,208,176,203,180,202,195,202,191,174,128,143,150,154,144,143,145,125,123,104,94,132
"Netherlands","Europe","Western Europe","Homicide Rate",0.9,1.2,1.3,1.3,1.1,1.2,1.4,1.3,1.1,1.3,1.1,1.3,1.2,1.2,1.2,1.1,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.7,0.7,0.6,0.6,0.8
"New Caledonia","Oceania","Melanesia","Homicide Total Count",,,,,,,,,,,,,,,,,8,12,11,8,,,,,,,,
"New Caledonia","Oceania","Melanesia","Homicide Rate",,,,,,,,,,,,,,,,,3.4,5,4.5,3.2,,,,,,,,
"New Zealand","Oceania","Australia and New Zealand","Homicide Total Count",63,54,67,41,57,39,48,60,49,45,52,51,60,44,45,61,49,48,51,67,43,39,41,46,43,48,50,35
"New Zealand","Oceania","Australia and New Zealand","Homicide Rate",1.9,1.6,1.9,1.2,1.6,1.1,1.3,1.6,1.3,1.2,1.3,1.3,1.5,1.1,1.1,1.5,1.2,1.1,1.2,1.5,1,0.9,0.9,1,0.9,1,1.1,0.7
"Nicaragua","Americas","Central America","Homicide Total Count",672,732,826,762,725,707,662,679,639,561,476,537,554,635,646,729,722,714,736,802,785,738,673,594,525,524,453,
"Nicaragua","Americas","Central America","Homicide Rate",16.2,17.3,19.1,17.2,16,15.3,14.1,14.2,13.1,11.3,9.5,10.5,10.7,12.1,12.2,13.6,13.2,12.9,13.2,14.2,13.7,12.7,11.5,10,8.7,8.6,7.4,
"Niger","Africa","Western Africa","Homicide Total Count",,,,,,,,,,,,,,,,,,,,,,831,788,,,,,
"Niger","Africa","Western Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,4.9,4.4,,,,,
"Nigeria","Africa","Western Africa","Homicide Total Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nigeria","Africa","Western Africa","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Niue","Oceania","Polynesia","Homicide Total Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Niue","Oceania","Polynesia","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Northern Mariana Islands","Oceania","Micronesia","Homicide Total Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Northern Mariana Islands","Oceania","Micronesia","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Norway","Europe","Northern Europe","Homicide Total Count",47,50,46,38,33,42,43,38,38,33,48,37,46,51,36,33,33,30,34,29,29,111,27,46,29,24,27,28
"Norway","Europe","Northern Europe","Homicide Rate",1.1,1.2,1.1,0.9,0.8,1,1,0.9,0.9,0.7,1.1,0.8,1,1.1,0.8,0.7,0.7,0.6,0.7,0.6,0.6,2.2,0.5,0.9,0.6,0.5,0.5,0.5
"Oman","Asia","Western Asia","Homicide Total Count",,,,,,,,,,,,,,,,,,,,,,,,,12,16,18,24
"Oman","Asia","Western Asia","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.4,0.4,0.5
"Pakistan","Asia","Southern Asia","Homicide Total Count",8209,,,,,,9062,9304,10246,9332,8906,9593,9466,9346,9614,9782,10048,10556,12059,12491,13190,13860,13846,13937,13276,9486,8516,8235
"Pakistan","Asia","Southern Asia","Homicide Rate",7.6,,,,,,7.2,7.2,7.7,6.9,6.4,6.8,6.5,6.3,6.4,6.4,6.4,6.6,7.4,7.5,7.7,8,7.8,7.7,7.2,5,4.4,4.2
"Palau","Oceania","Micronesia","Homicide Total Count",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Palau","Oceania","Micronesia","Homicide Rate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Panama","Americas","Central America","Homicide Total Count",278,294,311,308,323,377,248,315,281,285,299,306,376,337,308,364,221,279,493,562,460,549,637,663,604,471,405,397
"Panama","Americas","Central America","Homicide Rate",11.3,11.7,12.1,11.7,12,13.8,8.9,11,9.6,9.6,9.9,9.9,11.9,10.5,9.4,10.9,6.5,8.1,14,15.7,12.6,14.8,16.9,17.3,15.5,11.9,10,9.7
